session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,14,vpq6hhfr,11,matrix_new,q5,1564770075,5,2,FALSE
2,14,vpq6hhfr,12,matrix_new,q6,1564770086,11,2,FALSE
2,14,vpq6hhfr,13,matrix_new,q7,1564770095,9,2,FALSE
2,14,vpq6hhfr,14,matrix_new,q8,1564770101,6,2,FALSE
2,14,vpq6hhfr,15,matrix_new,q9,1564770111,10,2,FALSE
2,14,vpq6hhfr,16,matrix_new,q10,1564770118,7,2,FALSE
2,14,vpq6hhfr,17,matrix_new,Results,1564770121,3,2,FALSE
2,14,vpq6hhfr,18,matrix_new,Payoff2,1564770129,8,2,FALSE
2,14,vpq6hhfr,19,discreteT,Introduction,1564770226,97,2,FALSE
2,14,vpq6hhfr,20,discreteT,Introduction2,1564770251,25,2,FALSE
2,14,vpq6hhfr,21,discreteT,Discrete,1564770261,10,2,FALSE
2,14,vpq6hhfr,22,discreteT,Belief,1564770290,29,2,FALSE
2,14,vpq6hhfr,23,discreteT,Belief3,1564770334,44,2,FALSE
2,14,vpq6hhfr,24,discreteT,Results,1564770341,7,2,FALSE
2,14,vpq6hhfr,25,openquestion,Introduction,1564770383,42,2,FALSE
2,14,vpq6hhfr,26,openquestion,Likert,1564770410,27,2,FALSE
2,14,vpq6hhfr,27,scl,Instructions,1564770424,14,2,FALSE
2,14,vpq6hhfr,28,scl,Decision,1564770441,17,2,FALSE
2,14,vpq6hhfr,29,scl,Results,1564770445,4,2,FALSE
2,14,vpq6hhfr,30,BFI_S,Introduction,1564770447,2,2,FALSE
2,14,vpq6hhfr,31,BFI_S,Questionaire,1564770472,25,2,FALSE
2,14,vpq6hhfr,32,final_payoff,Results,1564770475,3,2,FALSE
2,14,vpq6hhfr,33,payment_info,PaymentInfo,1564770477,2,2,FALSE
2,15,xmcva5o4,1,Demographic,Introduction,1564768469,18,2,FALSE
2,15,xmcva5o4,2,Demographic,Questionaire,1564768491,22,2,FALSE
2,15,xmcva5o4,3,matrix_new,Start,1564768504,13,2,FALSE
2,15,xmcva5o4,4,matrix_new,training,1564768529,25,2,FALSE
2,15,xmcva5o4,5,matrix_new,training2,1564768534,5,2,FALSE
2,15,xmcva5o4,6,matrix_new,training3,1564768540,6,2,FALSE
2,15,xmcva5o4,7,matrix_new,q1,1564768546,6,2,FALSE
2,15,xmcva5o4,8,matrix_new,q2,1564768560,14,2,FALSE
2,15,xmcva5o4,9,matrix_new,q3,1564768570,10,2,FALSE
2,15,xmcva5o4,10,matrix_new,q4,1564768575,5,2,FALSE
2,15,xmcva5o4,11,matrix_new,q5,1564768580,5,2,FALSE
2,15,xmcva5o4,12,matrix_new,q6,1564768592,12,2,FALSE
2,15,xmcva5o4,13,matrix_new,q7,1564768610,18,2,FALSE
2,15,xmcva5o4,14,matrix_new,q8,1564768617,7,2,FALSE
2,15,xmcva5o4,15,matrix_new,q9,1564768629,12,2,FALSE
2,15,xmcva5o4,16,matrix_new,q10,1564768634,5,2,FALSE
2,15,xmcva5o4,17,matrix_new,Results,1564768642,8,2,FALSE
2,15,xmcva5o4,18,matrix_new,Payoff2,1564768649,7,2,FALSE
2,15,xmcva5o4,19,discreteT,Introduction,1564768714,65,2,FALSE
2,15,xmcva5o4,20,discreteT,Introduction2,1564768733,19,2,FALSE
2,15,xmcva5o4,21,discreteT,Discrete,1564768748,15,2,FALSE
2,15,xmcva5o4,22,discreteT,Belief,1564768779,31,2,FALSE
2,15,xmcva5o4,23,discreteT,Belief3,1564768820,41,2,FALSE
2,15,xmcva5o4,24,discreteT,Results,1564768830,10,2,FALSE
2,15,xmcva5o4,25,openquestion,Introduction,1564768931,101,2,FALSE
2,15,xmcva5o4,26,openquestion,Likert,1564768978,47,2,FALSE
2,15,xmcva5o4,27,scl,Instructions,1564768992,14,2,FALSE
